0,0,1
119062,230188,1
310692,1173162,17
310692,1565558,9
1155700,1612900,24-58
338138,1809750,1
5651500,1612900,24-58
4824412,1809750,1
4752325,1173162,17
4752325,1565558,9
119062,1173162,1
4560696,1173162,1
311150,2311400,17
311150,2703796,9
241300,2755900,24-58
530225,2886075,1
4699000,2755900,24-58
5349875,2886075,1
4752975,2311400,17
4752975,2703796,9
311150,3289300,17
311150,3681695,9
241300,3746500,24-58
1797050,3867150,1
4699000,3746500,24-58
8350250,3867150,1
4752975,3289300,17
4752975,3681695,9
311150,4267200,17
311150,4659595,9
241300,4737100,24-58
4699000,4737100,24-58
4752975,4267200,17
4752975,4659595,9
311150,5203825,17
311150,5596220,9
241300,5651500,24-58
4699000,5651500,24-58
4752975,5203825,17
4752975,5596220,9
